epoch,train_linear_mag_mse,train_log_mag_mse,train_mrstft,train_total,val_linear_mag_mse,val_log_mag_mse,val_mrstft,val_total,val_snr_gain_db,epoch_time_s
1,0.6439127366463792,3.073888039170368,2.4104953574473025,3.2266084438750524,0.7382113103276597,2.7892909162513777,2.415354301189554,2.9469691968272382,-0.2483051469657124,2423.016
2,0.756028980130257,2.747959987496727,2.4209746004804074,2.90681016652726,0.7273552985180021,2.657227864859813,2.399649006744911,2.8135780801229586,-0.18396426706738245,2408.197
3,0.6298595113820531,2.127997464388161,2.351397036955059,2.2770602918050162,0.5827326208166284,1.9126612473954427,2.309456973240293,2.0572707270982886,0.7788084999110646,2407.744
4,0.5627066458662143,1.8366476157579499,2.2948994248967693,1.979527919296099,0.5363318500270089,1.7870436305459143,2.2685116291046143,1.9272858045024954,1.1391659187847751,2435.333
5,0.5274750517134589,1.7558896251469895,2.2584330480895902,1.895185030137142,0.5210549158353305,1.729032456151227,2.2503068693752946,1.8676005454117581,1.264666825972669,2436.664
6,0.5089160167792518,1.7105742680716336,2.2349079669164764,1.84776546725642,0.48679973464581744,1.698645402064403,2.2113062447515026,1.833550701034269,1.5599984732837102,2418.322
7,0.497174525213785,1.677657898580839,2.2191500419460937,1.8134741269388328,0.4974056996069787,1.6620188367371191,2.218475045828984,1.7978128740089174,1.466394227539646,2430.19
8,0.4896569916452718,1.6421721017946607,2.2084515919486987,1.7770775309743592,0.4767662210781564,1.617110854702961,2.1953301709273765,1.7507156743032375,1.6504470212670386,2439.895
9,0.4791028294845143,1.5855833735840785,2.2043052221116004,1.7197537761638841,0.48213022950167067,1.544520419622669,2.2145498062002247,1.6793544214077638,1.6018581760952944,2430.858
10,0.4540015793515433,1.5172423074116064,2.198086346610118,1.6498467037096893,0.43666642623017315,1.4814455822686488,2.1921899285809747,1.6128884000092063,2.032003783471456,2430.771
11,0.4182778771120127,1.470639802277821,2.189773032404425,1.6010423477536428,0.3936560696972887,1.4485299508257903,2.172779624215488,1.576851735521429,2.482332280310677,2420.006
12,0.38069768593893205,1.4387283304144933,2.186833159949269,1.5671048727089034,0.36343803078409914,1.4159821093299556,2.1911850995030897,1.5437132658443151,2.8291980947724653,2438.909
13,0.34985457526958436,1.4113463713521537,2.1897700622746683,1.5383276032293662,0.32483195981633883,1.3908015266410514,2.1833919525146483,1.5162127222576007,3.316914277824878,2391.831
14,0.325280978343758,1.3866506365426239,2.1914365703042007,1.5124865139750219,0.3124065245121555,1.3671242498673908,2.195487688327658,1.4925189605093816,3.4863008474901074,2431.858
15,0.3074041624109417,1.3668438971975527,2.1882699527799256,1.491627602957096,0.2762405396268577,1.3643862703217513,2.1589755600896376,1.486147075307576,4.020627664305655,2407.987
16,0.2946520609762021,1.3509616767222201,2.1824945163653333,1.474819005589297,0.30182209052051456,1.3409084703913559,2.2009162689077444,1.4660453883627689,3.635991573041861,2435.88
17,0.28661411465484726,1.338878952140959,2.174809772722159,1.4619501465098093,0.2759336909463944,1.3264516989326833,2.1682801427512333,1.4486623906175646,4.025454499570456,2425.552
18,0.27884574968061104,1.3275991763567836,2.167353148820404,1.4499091212818342,0.2550017852925498,1.3242414973686432,2.1420914403323468,1.444096158649888,4.368069591699245,2402.044
19,0.2738905759140198,1.3185349215598678,2.1606671064403282,1.4402628056775852,0.23985949418621066,1.3231940683531738,2.1343353353697676,1.4419038098309727,4.633932666439307,2418.689
20,0.26911669771281,1.310092645953821,2.1549485301016293,1.4312959073445428,0.25639969612102975,1.3003739738306355,2.1544716933677934,1.4209175433050767,4.344326740215132,2420.654
21,0.2644773872862626,1.302262193651574,2.1501307382789343,1.4229925999298338,0.2567099173303284,1.2936441834162191,2.1453354062705206,1.4137464495962615,4.339075333020589,2448.216
22,0.2611005814365345,1.29490468924671,2.1461526647738207,1.4152673515572278,0.24430317686862194,1.2892266959897152,2.1351285013659247,1.4081982799014425,4.554210656659454,2430.175
23,0.2572522236522272,1.2884269589346482,2.1423996675914534,1.4084095534968322,0.2481291132423142,1.2838292003637153,2.1307795984991666,1.4027746359507893,4.486724566758579,2414.328
24,0.25417173513025537,1.2823488494767703,2.1398503339529404,1.4020499529309303,0.2458649634754964,1.2751480063065816,2.1378896515944907,1.3943357370600808,4.526535353237817,2447.753
25,0.25190355850098944,1.2762994063209698,2.1361489378616145,1.3957020311391,0.24354334516542248,1.2678047686631182,2.1367298208434007,1.3868184269635593,4.5677391320224805,2431.199
