epoch,train_linear_mag_mse,train_log_mag_mse,train_mrstft,train_total,val_linear_mag_mse,val_log_mag_mse,val_mrstft,val_total,val_snr_gain_db,epoch_time_s
1,0.24488371826315342,1.2680260550629658,2.1441370057765803,1.3874770912649526,0.24589000727806706,1.2675972954910082,2.172542014615289,1.388518896585676,4.522600890544859,2516.211
2,0.24073134722854334,1.2618342565714182,2.1409969948840617,1.3809206736770485,0.22965197509113916,1.2560129398892164,2.130106574091418,1.3740008673483444,4.819307840003384,2482.758
3,0.2362805042182466,1.2564346470330852,2.1389167707396215,1.3751945107809784,0.23719735013418525,1.2506047749947409,2.1515013974288415,1.3700397123728922,4.678911358921031,2493.714
4,0.2327949603809485,1.2507977459981305,2.1361858782305374,1.3692467879287047,0.22695089100436563,1.2446609360436132,2.1388727500520903,1.362952118096436,4.870690767489256,2518.7
5,0.22923428196978715,1.2461459499342493,2.1358837537662643,1.3644018517210519,0.21879420824343893,1.2392829331507789,2.1409291941544106,1.3572691032706714,5.029651473670283,2533.595
6,0.22607657261046732,1.2414666105286327,2.1342502064624074,1.3594829494822764,0.21477587130002565,1.2355278892264214,2.125263648197569,1.3525298652013011,5.110154793105565,2498.095
7,0.22368127930355955,1.2368193199990973,2.131959176577846,1.3546013427931676,0.22165241307051312,1.230934980132875,2.137304740116514,1.3488828377922264,4.973285051531197,2496.162
8,0.22087588370907407,1.2325824660178875,2.1304104945325335,1.350146784929968,0.20968935210225922,1.2278671869078475,2.122895234206627,1.3444964162232917,5.214245910463793,2479.727
9,0.2184805349943952,1.2288604316244636,2.129320593019847,1.3462504880251756,0.21517792716881778,1.2234199084546908,2.1363309958885455,1.340995354607559,5.102032492674658,2484.391
10,0.21648707212722093,1.224684661630035,2.1269352575663607,1.3418557781147142,0.21026840301167293,1.2195255969278405,2.1245454442912135,1.3362662892929849,5.202269526124862,2512.895
11,0.2146444110914998,1.2216921791254738,2.1257611338640396,1.3387124563732509,0.20231978648989005,1.2174143156437536,2.1178031296565614,1.333420461451076,5.3696261084078305,2471.129
12,0.21243747369822868,1.2179297438152665,2.12443535996512,1.334773385498434,0.20735988977254516,1.212192099111299,2.128586139350102,1.3289894005674314,5.26276215531812,2490.979
13,0.2112191746191987,1.2147121902096447,2.1230956929490454,1.3314279335880568,0.2063817909483156,1.2093590232896476,2.1182911231600006,1.3255926689950632,5.283295919898113,2497.218
14,0.2099026515849088,1.2117599111316386,2.1216059230692763,1.3283353398643478,0.20586781166669202,1.2059916464122047,2.127730897377277,1.3226715818644033,5.294125207788988,2495.331
15,0.20847747861083826,1.2091950858110585,2.1206982756616153,1.3256538735246812,0.20274681797372412,1.2106390226699744,2.1016635039757037,1.3258595387674457,5.360469219950982,2499.632
16,0.20722648744102637,1.2056141097773252,2.11886902895106,1.3219188855969295,0.20542919700471865,1.2014114945733656,2.1284805988443307,1.3181069843658182,5.30338800307179,2491.736
17,0.20654604208150132,1.203815037132802,2.1179460498327836,1.3200396417285163,0.20035461516908867,1.1983906766851162,2.117538840195228,1.314285349453332,5.412016180035522,2502.011
18,0.20530305236455176,1.2002284491325188,2.1170583919310606,1.3163465213472993,0.19306782675153025,1.2018134710487922,2.1001771762453276,1.316475721198635,5.572910608435273,2501.306
19,0.20413540413801012,1.198437752242702,2.116589561449177,1.3144740005220614,0.1873262168812949,1.201480246617997,2.1043012092853415,1.3160616179263287,5.704024063821481,2488.106
20,0.20367842602633915,1.1961834724957785,2.115573413566742,1.3121460644754326,0.19513689439618226,1.1920923653671474,2.1080893187687315,1.307253676025393,5.526615799500951,2489.034
