epoch,train_loss,val_loss,val_snr_gain_db,epoch_time_s
1,0.166455564361656,0.1450698202864492,6.817731317407221,1130.748
2,0.1319494146114715,0.12221306162083902,7.562325808180131,1152.918
3,0.11911754029700278,0.1166408008526313,7.7649971194427705,1138.707
4,0.11190096181396333,0.10921820667387748,8.050551634936262,1095.198
5,0.10709400601517283,0.10378618636496474,8.27210650737466,1127.196
6,0.10308821486744296,0.10329645962462417,8.292647679856767,1046.208
7,0.10029802433103864,0.10000554233785643,8.433261353822749,1097.189
8,0.0971427261975795,0.0959126037526344,8.614745237793914,1077.612
9,0.09568217904570538,0.09617223208699524,8.603005089631724,1049.529
10,0.09320442037676852,0.10173602555451355,8.358754374148695,1197.302
11,0.09116378502746736,0.09358943074538545,8.721233990802915,1126.231
12,0.08970862538703316,0.09073323208891466,8.855838232410933,1135.223
13,0.08882204851256416,0.09195976608783964,8.797523468711356,1161.459
14,0.08796063836555527,0.0893970113814523,8.920272045801177,1005.766
15,0.08702995213708813,0.09028652711062464,8.877272566625866,1162.161
16,0.08645161918609096,0.09010669488467365,8.885931447309602,1149.888
17,0.08630497037221098,0.08869859091639695,8.954334841854621,1101.654
18,0.0847925199901486,0.08812450048592872,8.982535364777078,1136.993
19,0.08507763533616229,0.08736035220091203,9.020358285223198,1065.58
20,0.0840459578545897,0.08851387564495307,8.963388477156972,1133.721
21,0.08345311521449941,0.0858481626535748,9.096192000785141,1112.554
22,0.08292975008354427,0.0881354420727435,8.981996175814,1140.001
23,0.08211360507781079,0.08542341617191365,9.117732694533055,1193.914
24,0.08241373336448814,0.08781060478263808,8.998032364795696,1163.659
25,0.08195841173872238,0.08616505294210008,9.080190455916513,1135.046
