epoch,train_loss,val_loss,val_snr_gain_db
1,0.00369729,0.00298323,-14.56940329
2,0.00223349,0.00219979,-8.50164532
3,0.00174474,0.00171810,-7.92307406
4,0.00134264,0.00131140,-6.46122130
5,0.00096457,0.00086320,-5.61266699
6,0.00057451,0.00048363,-4.61106044
7,0.00028878,0.00028884,-3.22322194
8,0.00018031,0.00026415,-3.35143875
9,0.00017099,0.00025323,-3.23790261
10,0.00016321,0.00024299,-2.99958165
