epoch,train_linear_mag_mse,train_log_mag_mse,train_mrstft,train_consistency_mse,train_total,val_linear_mag_mse,val_log_mag_mse,val_mrstft,val_consistency_mse,val_total,val_snr_gain_db,epoch_time_s
1,0.22433553235653425,1.6725235965416154,2.230890181288697,0.0001660961945095587,4.127765919806298,0.22553569479136812,1.639137701478072,2.248117264385881,0.0001630906784377093,4.112806969723165,5.010823524623362,2428.058
2,0.2128658303827727,1.6373331451021567,2.2169572436387073,0.00015544929015827766,4.067171764052652,0.21207381169954514,1.6350733292662654,2.1973250274000495,0.0001455863000893291,4.044486726995869,5.278105962485739,2430.517
3,0.20261797242712298,1.601860843691189,2.210568379731318,0.0001443779981964494,4.01506163364945,0.20064626711795086,1.7236975199814593,2.1694237791258715,0.00015471403528173486,4.09378303762881,5.518665540699046,2481.188
4,0.1959453885298978,1.5863213687045414,2.198024134422855,0.00015549132817214336,3.980306440790111,0.19890748702784913,1.5878311730992356,2.18704750455659,0.00014849335982881743,3.973801014019658,5.556465078689068,2307.689
5,0.19132993231897855,1.5669076213327264,2.1939828766880125,0.00014507898490080694,3.9522349382382074,0.1943178246024973,1.5938588690717084,2.1686105974789323,0.0001427307986887172,3.9568015642330066,5.6578499859647104,2311.082
6,0.1875391614050635,1.5526685144636652,2.190027656099646,0.00013932258523776872,3.930249264226898,0.19227361112212124,1.5473441819650977,2.185894408719293,0.00013729121264046188,3.9255259309277757,5.703779555369172,2349.29
7,0.1841763626034721,1.5398252574195685,2.1852305413027207,0.00013698009414248472,3.9092458593351753,0.1891719684774721,1.5444635393410129,2.1755670317288103,0.00014045859706098343,3.9092165854070013,5.774408554424129,2370.593
8,0.1814623334813159,1.529054906373349,2.1805175552015497,0.00013928471976978248,3.8910487235281916,0.18798446553961684,1.5180649274586229,2.183376701946916,0.000135842667077668,3.889439679211864,5.801756764920523,2374.172
9,0.17864358847679151,1.5172765641626513,2.1760749023390478,0.00014428222000168673,3.872009483200491,0.18459014427775214,1.5104960532537615,2.1761858726369923,0.00014316837442838106,3.8712863870059486,5.8808912921557965,2373.812
10,0.17616803577732537,1.5056245978489864,2.172433107769912,0.00014151900899229687,3.854239893297123,0.18225538738411567,1.490264598266209,2.1881656071235396,0.00015750588876283568,3.8607013433627406,5.9361726375113175,2298.784
11,0.17427450732821473,1.4969239711489022,2.1676411659948998,0.00015743746589914553,3.8388553882186067,0.17929785416644742,1.5362014387828355,2.1342225255637333,0.00015887154751971106,3.849737705667768,6.007225465083058,2279.81
12,0.17241285285248728,1.4884278827593895,2.1645229693002803,0.00016019603810438137,3.825379724515968,0.17763695107067604,1.4992626931464368,2.1516282015833363,0.0001562727660398352,3.8285434730770533,6.047643280612455,2244.051
13,0.1703407663286131,1.4791232096463958,2.161495264028364,0.00015656647798664906,3.810974896651172,0.176296801823058,1.4779301344159834,2.158924403683893,0.00015250702783995275,3.8131665906257184,6.08053204580818,2255.071
14,0.1691872691903834,1.4751812223574863,2.1604207122270793,0.00016650020242909053,3.804805853795192,0.17631114742125586,1.4655063905178953,2.1621016650364315,0.00016741005052483223,3.803935943980635,6.08017866669953,2241.927
15,0.16956389391846433,1.4827219704733228,2.156368983912358,0.00015396454051168002,3.808670244758196,0.1740924057258402,1.4756276517436204,2.1479201070193588,0.00015121839247073915,3.7976552863280664,6.135178117742753,2243.096
16,0.16634338477657365,1.462020291120816,2.1544607864873617,0.00015091022432393676,3.782839553407184,0.173550381349489,1.4584285738033438,2.1576673968084927,0.00014865291761515404,3.789661217253087,6.148720661710485,2241.65
17,0.16551575132362917,1.4585354796563432,2.1535131909263154,0.00015179846348709235,3.7775796017526364,0.17242944048097134,1.452629969464415,2.156394335319256,0.00015470166891363673,3.781469215431534,6.176862195199036,2241.235
18,0.16359205600505675,1.452806686187337,2.1506791500538265,0.00015562688555468545,3.767093454934776,0.16973068276727532,1.4793655769092953,2.1295780527180637,0.00015341282098610276,3.7786896536767327,6.245372802329464,2244.658
19,0.1621347433832723,1.449995586067829,2.148777571591464,0.00015140062440245934,3.7609230411050056,0.1699551154051341,1.471743826862039,2.1845504662086226,0.00014646860401061813,3.826264055336197,6.239633977162889,2243.242
20,0.16064583872585525,1.4438810150509038,2.146301069502103,0.00014590077608395873,3.7508425133564702,0.1681565892906062,1.433875990724242,2.1543182915654677,0.0001443420753087688,3.7563653057878468,6.28583748466725,2243.553
21,0.15958972975359528,1.437059823402717,2.145517224339748,0.00014658890233984294,3.7421814363862946,0.16593044735167162,1.458580241169116,2.127100186512388,0.00014691652475699686,3.751625566685652,6.343715544162332,2361.584
22,0.15827702669852672,1.4339616974104512,2.143361653679141,0.00014407790929849658,3.7356147855790485,0.16474671422243542,1.4792668866127219,2.115214499111833,0.00013838394668960847,3.7592419383416593,6.37480876871771,2379.224
23,0.15687524066389907,1.4284784176104615,2.1413808030597234,0.00014723239465695928,3.72674918457355,0.16393427404270708,1.4393871058145677,2.1308984032992657,0.00014657899599365793,3.73423444105614,6.396278766565711,2240.418
24,0.1553996385866054,1.423447153590116,2.1404812227595937,0.00014275539048204505,3.7193422904753635,0.16257526846430437,1.424104731779893,2.137859015629209,0.00013938819264977013,3.7245529546926717,6.432431586318403,2242.85
25,0.15399176509990817,1.4190359825273804,2.138977404368126,0.0001358846977679292,3.712018740465191,0.16073267549948694,1.4274502276774481,2.1299477560766813,0.00012969232757941112,3.7181436284863745,6.481934645932316,2246.055
26,0.15509401584602128,1.4185773416547836,2.1422713052693796,0.0001274566498369749,3.7159554084351685,0.1601976480789254,1.4174361841455145,2.1367851668390734,0.00012364366720530912,3.7144313634302337,6.496415027162078,2252.291
