epoch,train_loss,val_loss,val_snr_gain_db,epoch_time_s
1,0.15179236377956573,0.12171108374845004,7.580200781602688,151.518
2,0.11568739698064491,0.11259706056011033,7.918231552437217,86.357
3,0.10832721904125321,0.10667846405893688,8.152734543512274,83.899
4,0.10428462054799585,0.10769759922801937,8.111441865761183,83.35
5,0.10140206493595813,0.10600025197569832,8.180433105281189,83.76
6,0.09919937289365391,0.10648401821754223,8.160657768378512,83.438
7,0.09751166824405273,0.10339755339137618,8.28839945998426,83.436
8,0.09602271546708777,0.10274208166236225,8.316018475327542,83.635
9,0.09470552228419145,0.0998445203279858,8.440259736289837,84.175
10,0.09356205303580949,0.1018308036382692,8.354710361790914,83.797
11,0.09262130487621652,0.09946883721886855,8.45663167498434,83.91
12,0.09182726599098893,0.10020257296161025,8.424713347107737,84.616
13,0.09102670581864475,0.09735351720516186,8.549985604875971,83.706
14,0.09074585486264043,0.097498038755919,8.54354328602096,83.842
15,0.09001884403753938,0.09732183572113494,8.551399154615574,84.137
16,0.08931992689383045,0.0953491523528587,8.640333714731621,84.105
17,0.08928274041197924,0.09794373037705423,8.523735664542858,84.274
18,0.08846097651761822,0.09557822408152762,8.629912499898879,84.031
19,0.08786781091378239,0.09413044571321874,8.696200929461078,83.674
20,0.08753141484063617,0.0963187333727699,8.596394439209822,83.924
