epoch,train_linear_mag_mse,train_log_mag_mse,train_mrstft,train_total,val_linear_mag_mse,val_log_mag_mse,val_mrstft,val_total,val_snr_gain_db,epoch_time_s
1,0.27022655823820607,1.3096203078450406,2.170139722721235,1.4316386218930126,0.2764830353249544,1.3071685487775253,2.200709683319618,1.431028184709754,4.013324802042798,2558.464
2,0.267150221322777,1.3015540079945016,2.164032699330746,1.4231131540271778,0.2543227584064029,1.2937450252279343,2.149770169422544,1.4139496716193818,4.376157435346496,2540.58
3,0.26286368551443723,1.2943558794229808,2.158747199687458,1.4154364236830757,0.2654994609247612,1.2864938453873584,2.173749831627155,1.4084563100149543,4.18937325243559,2540.334
4,0.258040781336967,1.2869691795553793,2.15401868496911,1.4075721528706833,0.24958218611765817,1.27917097153884,2.1549862993174584,1.3993993958105957,4.457873844337354,2538.374
5,0.25392452839486596,1.2807148804656696,2.1502795877001133,1.4009250862704186,0.2425108793360253,1.2721912102103392,2.156761855092542,1.3921548469317677,4.582697425026331,2550.642
6,0.24920851910743086,1.2743344990107508,2.146951835585302,1.3941425167453874,0.2360683938279732,1.2667619615981693,2.1368368526984907,1.3854072239244926,4.699631236932868,2560.564
