epoch,train_loss,val_loss,val_snr_gain_db,epoch_time_s
1,0.1417048187686296,0.12376378142209993,7.507566368636383,125.836
2,0.11673128514251065,0.1140501268298681,7.862544351931775,78.575
3,0.11028994477548647,0.11077957721475555,7.9889050408998274,78.496
4,0.10636051470817105,0.10706112282878569,8.137184142125554,78.399
5,0.1037527947051355,0.10787207254209165,8.104411843268824,78.18
6,0.10168100038778796,0.10580964090850453,8.188249661074824,78.482
7,0.1001335716851811,0.10425406319924824,8.252572188058132,78.059
8,0.09882458034571778,0.1033408062433642,8.290783625133022,78.15
9,0.09775326220092546,0.10171358107137649,8.359712620760483,78.315
10,0.09696177556196948,0.10240846741123251,8.330143409140152,78.733
11,0.09595709014707274,0.10220283414402384,8.338872678236694,78.322
12,0.0953585934486049,0.10124697790806245,8.379681389590647,78.463
13,0.09457611249146683,0.09833366830177065,8.506479669229707,78.441
14,0.0938998699542578,0.0990080349121804,8.476797665154965,78.428
15,0.09339851611136495,0.10048892335739781,8.412320141871136,78.547
16,0.09294053274713858,0.10035031701226782,8.418314591880137,83.777
17,0.09235617111673641,0.097672979457528,8.535757718095153,78.487
18,0.09234151551884615,0.10058524492400439,8.40815929878856,73.566
19,0.09192187195837274,0.09852099967486583,8.498213978304154,70.644
20,0.09126128702796296,0.09764300246750694,8.537090825196596,79.274
